Strains,Active,Reinfs,VR5rate,VR5rateD1,VR5rateD2,VR5rateD3,All_6_firstCP_X,All_6_firstCP_Y,ActiveBC,ReinfsBC,VR5rateBC,VR5rateD1BC,VR5rateD2BC,VR5rateD3BC,All_6_firstCP_X_BC,All_6_firstCP_Y_BC
X_129X1_SvJ,1.2,1.2,0,0,0,0,33051.778,-4.4,0.709159126,0.739645612,0,0,0,0,3.323832788,-5.03554432
AJ,2156.4,616.4,0.025076646,0.02072,0.020178601,0.034328,12136.12,30.4,16.79041257,16.27066877,0.018372384,0.013634772,0.014096625,0.024025337,14.6241555,3.220160925
AKR_J,731,310.5,0.00751,0,0.0161,0.00643,38077.94,6.5,12.57939949,12.94520332,0.006653765,0,0.011045887,0.006086894,19.11455879,1.932791402
AXB_1_PgnJ,775,329.3333333,0.005978,0.00262,0.006963333,0.008361865,19529.30333,13.33333333,13.04863634,13.42743719,0.005498467,0.002386537,0.006237511,0.007478423,16.24898105,2.577729075
AXB_15_PgnJ,7,7,0,0,0,0,58139.285,7,2.507848388,2.714755474,0,0,0,0,20.37157748,1.971233183
AXB_19a_PgnJ,5,4,0,0,0,0,12368.045,-4,1.812174392,1.757379689,0,0,0,0,4.536717901,-4.5
AXB_23_PgnJ,36.5,32.5,0,0,0,0,20035.965,9.5,3.899078522,4.374649163,0,0,0,0,17.45593659,1.841736979
AXB_8_PgnJ,430.6666667,153.3333333,0.0041,0.003113333,0.0004,0.0088,35292.43667,11,6.171367572,6.17620378,0.003628777,0.002787585,0.000393985,0.007193863,17.45127314,1.937958907
BALB_cJ,5305.285714,1224.142857,0.131518205,0.087917881,0.137810401,0.168820026,16474.25429,9,20.98642057,20.0682583,0.042757958,0.028238191,0.033574228,0.057956842,15.15639996,1.922836626
BTBRT___tf_J,864.5,217.75,0.009525,0.00965,0.0008675,0.018047179,55617.735,4,6.099358266,5.928702936,0.006652822,0.006301113,0.000830511,0.010823838,18.9710884,1.378138853
BUB_BnJ,2388,664,0.023735,0.021215,0.02059,0.029346601,1111.865,14.5,17.22875461,16.70041569,0.017572183,0.015108025,0.015131761,0.022000799,10.38094107,2.774329439
BXA_13_PgnJ,6850.5,1361,0.09655,0.087493662,0.094237632,0.107990767,5696.17,2,22.75269302,21.18072928,0.042987925,0.036526846,0.036421243,0.052312706,14.02472457,0.701806658
BXA_14_PgnJ,540.2,178.4,0.010482,0.00308,0.00446,0.0239,48386.562,9.4,8.572845175,8.296012969,0.008592448,0.002573566,0.003413646,0.016906304,19.47119853,2.197183909
BXA_16_PgnJ,36.75,25.25,0,0,0,0,55198.385,6.25,3.879723538,3.960257316,0,0,0,0,20.09692335,1.805405994
BXA_25_PgnJ,5.25,5.25,0,0,0,0,60263.04,5.25,2.109543578,2.262973001,0,0,0,0,20.49605889,1.603705396
BXA_4_PgnJ,11,11,0,0,0,0,26860.18,1,3.170260547,3.488255975,0,0,0,0,18.31278162,0
BXD_1_TyJ,1091.333333,284.3333333,0.014020316,0.0037,0.0172,0.021166667,58223.31667,4,7.677108897,7.488611104,0.009463905,0.003246355,0.009672492,0.013414475,20.22540178,1.363778019
BXD_24_TyJ,976.75,373.25,0.0141,0.0249,0.009565,0.00784,20045.4975,15,13.61949804,13.80554824,0.011226571,0.012806716,0.007899345,0.007329168,15.78860204,2.344003035
BXD_29_TyJ,150.75,64.5,0.0037,0,0,0.011075,60677.5,8,5.998278472,5.952448933,0.003196866,0,0,0.007975353,20.71913637,2.102679491
BXD_31_TyJ,2243.333333,510.6666667,0.032866667,0.028816667,0.033469348,0.036300929,34130.71333,9.833333333,9.871667848,9.641550667,0.015783742,0.012264591,0.012351124,0.02064033,16.97628872,1.711066434
BXD_32_TyJ,1861,474,0.0301,0.03305,0.0288,0.0284,27139.555,9.5,10.64333769,10.29612083,0.017500431,0.016673415,0.015289865,0.018801547,18.31649071,2.017562405
BXD_39_TyJ,5.2,4.8,0,0,0,0,44072.42,3.2,2.016074896,2.093841791,0,0,0,0,14.57758024,-0.348470736
BXD_40_TyJ,3608.5,841.5,0.04293158,0.049375,0.04305,0.0364,13237.835,5.5,16.21942065,15.51982445,0.025437909,0.024954181,0.022691087,0.025031141,14.46882458,1.701874125
BXD_42_TyJ,2805.272727,690.1818182,0.036436364,0.039649005,0.030990909,0.038670401,17277.46909,6.909090909,14.9965135,14.42265388,0.022474076,0.020170689,0.017471825,0.026629662,13.00891456,0.934468552
BXD_9_TyJ,3655.8,894.4,0.04542,0.048184226,0.04582,0.04228,3442.692,10.2,19.41297426,18.4803525,0.028601071,0.026526996,0.026536392,0.02969517,12.76159147,2.271066941
BXH_19_TyJ,576.5,220,0.00935,0.01415,0.00855,0.0054,45566.155,19,8.72201213,8.854034559,0.007784674,0.010272977,0.006946704,0.004961954,19.27590574,2.88765296
BXH22,75.75,45.375,0.0013375,0,0.0033625,0.00065375,35966.50625,4.25,3.605137683,3.923802973,0.001202313,0,0.002444399,0.00062727,11.24003092,-0.866419371
BXH_4_TyJ,17.66666667,16.66666667,0,0,0,0,25609.17,3.666666667,2.850255005,3.162481178,0,0,0,0,16.82075762,1.224222991
BXH_6_TyJ,3830.666667,891.6666667,0.046596667,0.035533333,0.047583034,0.056633333,23689.92333,7.333333333,18.4121232,17.38792,0.026948527,0.020058936,0.022275931,0.035777948,15.9085702,1.911428914
BXH_8_TyJ,1634,390,0.02085,0,0.0221,0.0405,42849.365,5,10.34006411,9.733358149,0.014117562,0,0.013376019,0.023006307,19.5260707,1.567831986
BXH_9_TyJ,2284.25,655.25,0.0345,0.050161502,0.0205,0.03288,8094.4325,8.75,17.35324145,16.78893479,0.022684986,0.025547847,0.014721335,0.023760216,13.85991091,1.950860373
C3H_HeJ,839.2,241.8,0.01908,0.00768918,0.00476,0.04482,66064.38,12.6,9.66019144,9.435301032,0.013652384,0.005028539,0.003582095,0.026336,19.47192284,2.639627353
C57BL_6J,1357.444444,341.2222222,0.017953333,0.0137,0.012488889,0.027644444,30496.91111,5.444444444,10.14515555,9.633083724,0.012027451,0.007189156,0.006676065,0.018440365,16.85551136,1.657459081
C57L_J,6151,1421,0.0813,0.0678,0.097832561,0.07835,1771.615,16.5,22.18118768,21.45463564,0.039964998,0.032981203,0.036635101,0.045128042,11.24210268,2.948160184
C58_J,2652.5,680.25,0.0407,0.03615,0.0263425,0.05965,3083.4525,14.75,16.59041624,16.07588629,0.026570727,0.020878128,0.015547415,0.038663209,11.9427329,2.711612303
CBA_J,1896.285714,446.8571429,0.0328638,0.029011199,0.028133818,0.041432519,28638.10571,8.285714286,10.78590717,10.45600844,0.014966979,0.010863121,0.010540902,0.020928419,16.15505377,2.057185176
CE_J,4515.5,1095,0.04985,0.0608,0.05525,0.03355,951.94,13.5,20.52933116,19.7363484,0.031041531,0.032078272,0.029043092,0.025416547,10.0579787,2.721047312
DBA_2J,2386.8,591,0.037093293,0.02442155,0.02994,0.056892257,26090.062,12,14.95379938,14.08107207,0.023202658,0.012950455,0.017274882,0.03322723,17.01595085,2.420156216
FVB_NJ,3766,804.8333333,0.064918215,0.035876913,0.057419008,0.101470467,13913.81667,9,17.06784229,15.80359169,0.031155327,0.012860624,0.019088685,0.045313846,13.48621542,2.211082873
I_LnJ,4850.4,1066.4,0.06186,0.04228,0.066865333,0.076405365,13425.212,7.2,18.06045509,17.18467917,0.031462134,0.020466051,0.027945262,0.038868631,12.81185871,1.910493661
KK_HlJ,2195.5,643.5,0.0222,0.0292,0.02665,0.01084,1801.155,8.5,17.24195836,16.72091539,0.017584135,0.01838188,0.019289994,0.009800601,11.40465556,2.207601804
LG_J,1147.5,431.5,0.0150925,0.02742,0.009031661,0.0088975,1831.0725,14.25,14.52232093,14.67736896,0.01258077,0.016436213,0.007949259,0.007957932,11.40296043,2.141570045
LP_J,813.6666667,254.3333333,0.020566667,0.020466667,0.0089,0.032333333,58527.89667,7.333333333,9.562168553,9.4266347,0.015230679,0.010764133,0.00648428,0.020510826,20.08064284,2.033597508
NOD_LtJ,5414,1255.4,0.0703,0.06928,0.054631884,0.08704,6320.362,13.2,21.41322955,20.56798496,0.037248842,0.033123768,0.02761032,0.047556222,13.6014236,2.56814801
NON_LtJ,6324,1462.5,0.09085,0.084866414,0.0989,0.088744367,4438.2,20,22.33456514,21.64999156,0.042052265,0.03659205,0.036959093,0.048018274,13.25601376,3.156640864
NZB_BlNJ,3329.5,846.5,0.0516,0.02805,0.066610893,0.060166749,23914.35,24.5,17.64457302,17.28464283,0.026234108,0.015479811,0.026519813,0.032895909,15.91068991,3.226484527
NZW_LacJ,2483,697.5,0.044526182,0.0721,0.026684568,0.0348,17141.045,7,17.1169347,16.81434056,0.029150014,0.034535896,0.018573838,0.025796021,16.89343569,1.971233183
PL_J,803.5,265.5,0.00995,0.00915,0.01145,0.00925,44195.235,24,9.285737516,9.227780622,0.008191285,0.007401972,0.008704443,0.008016856,17.84896722,2.993276132
RIIIS_J,1656.2,535,0.01742,0.01467,0.0169929,0.020588,4431.548,22.2,15.78305233,15.63647789,0.013946371,0.011449559,0.012947439,0.016453846,13.22854121,3.235021368
SM_J,3664.666667,911.6666667,0.054466667,0.043566667,0.050165773,0.069605116,15264.65333,13.66666667,19.27637294,18.4437871,0.031416265,0.021309306,0.027453677,0.041281318,16.42357085,2.719378766
